"cluster","dt_apex_ms","rt_apex_s","dt_apex_to_min_ms","dt_apex_to_max_ms","rt_apex_to_min_s","rt_apex_to_max_s","dt_min_ms","dt_max_ms","dt_length_ms","rt_min_s","rt_max_s","rt_length_s"
"Cluster13",9.69333333333333,594.93,0.0533333333333328,0.120000000000001,4.39949999999997,2.08950000000002,9.64,9.81333333333333,0.173333333333334,590.5305,597.0195,6.48900000000003
"Cluster4",9.12,311.745,0.0400000000000009,0.129999999999999,7.98,2.52000000000002,9.08,9.25,0.17,303.765,314.265,10.5000000000001
"Cluster27",10.1066666666667,395.01,0.0526666666666662,0.0526666666666661,4.80899999999997,9.18749999999997,10.054,10.1593333333333,0.105333333333331,390.201,404.1975,13.9965
"Cluster66",12.1066666666667,1036.35,0.0533333333333328,0.0653333333333331,1.82699999999988,1.82700000000009,12.0533333333333,12.172,0.118666666666666,1034.523,1038.177,3.65399999999977
"Cluster76",13.7866666666667,705.075,0.0646666666666664,0.0646666666666667,1.58550000000006,2.75099999999994,13.722,13.8513333333333,0.129333333333332,703.4895,707.826,4.3365
"Cluster64",12.0933333333333,829.71,0.0519999999999994,0.0533333333333346,1.61699999999995,1.61700000000006,12.0413333333333,12.1466666666667,0.105333333333334,828.093,831.327,3.23400000000004
"Cluster38",10.9066666666667,223.44,0.0533333333333344,0.0533333333333328,1.23900000000002,3.96900000000001,10.8533333333333,10.96,0.106666666666667,222.201,227.409,5.20800000000003
"Cluster9",9.4,374.325,0.0533333333333328,0.0533333333333328,4.92450000000001,2.82450000000001,9.34666666666667,9.45333333333333,0.106666666666666,369.4005,377.1495,7.74900000000002
"Cluster46",11.0066666666667,681.975,0.0533333333333328,0.0659999999999998,1.20749999999999,1.22849999999999,10.9533333333333,11.0726666666667,0.119333333333332,680.7675,683.2035,2.43599999999992
"Cluster70",12.36,620.76,0.0600000000000005,0.0533333333333328,6.82500000000005,1.78499999999997,12.3,12.4133333333333,0.113333333333333,613.935,622.545,8.61000000000001
"Cluster30",10.3733333333333,312.165,0.0533333333333346,0.0533333333333328,6.1845,5.01900000000002,10.32,10.4266666666667,0.106666666666667,305.9805,317.184,11.2035
