"cluster","dt_apex_ms","rt_apex_s","dt_apex_to_min_ms","dt_apex_to_max_ms","rt_apex_to_min_s","rt_apex_to_max_s","dt_min_ms","dt_max_ms","dt_length_ms","rt_min_s","rt_max_s","rt_length_s"
"Cluster273",12.12,852.6,0.0533333333333328,0.0533333333333328,3.23400000000001,0.818999999999926,12.0666666666667,12.1733333333333,0.106666666666666,849.366,853.419,4.053
"Cluster158",10.4266666666667,802.515,0.0533333333333328,0.0399999999999991,3.11850000000009,7.75949999999998,10.3733333333333,10.4666666666667,0.0933333333333319,799.3965,810.2745,10.878
"Cluster13",8.98666666666667,450.03,0.0533333333333328,0.0400000000000009,2.226,2.44649999999998,8.93333333333333,9.02666666666667,0.0933333333333337,447.804,452.4765,4.67249999999996
"Cluster305",13.2533333333333,336.63,0.0533333333333328,0.0400000000000009,0.409499999999963,3.62250000000003,13.2,13.2933333333333,0.0933333333333337,336.2205,340.2525,4.03199999999998
"Cluster186",10.76,587.79,0.0526666666666679,0.0533333333333328,3.13949999999998,2.71950000000002,10.7073333333333,10.8133333333333,0.106,584.6505,590.5095,5.85900000000004
"Cluster110",10.0133333333333,1150.905,0.0533333333333328,0.0400000000000009,1.79550000000009,4.69349999999993,9.96,10.0533333333333,0.0933333333333337,1149.1095,1155.5985,6.48900000000003
"Cluster183",10.7466666666667,522.06,0.0653333333333332,0.0533333333333328,2.28899999999995,2.70899999999991,10.6813333333333,10.8,0.118666666666666,519.771,524.769,4.99799999999993
"Cluster187",10.76,1033.725,0.0526666666666679,0.0526666666666661,5.20799999999999,6.98250000000009,10.7073333333333,10.8126666666667,0.105333333333332,1028.517,1040.7075,12.1905000000002
"Cluster188",10.76,1100.925,0.0400000000000009,0.0526666666666661,5.44950000000007,5.82749999999993,10.72,10.8126666666667,0.0926666666666662,1095.4755,1106.7525,11.277
"Cluster6",8.89333333333333,481.005,0.0400000000000009,0.0399999999999991,4.16849999999998,2.94,8.85333333333333,8.93333333333333,0.0800000000000001,476.8365,483.945,7.10849999999999
"Cluster293",12.88,703.08,0.0533333333333328,0.0533333333333328,4.78800000000004,3.20250000000001,12.8266666666667,12.9333333333333,0.106666666666666,698.292,706.2825,7.9905
"Cluster103",9.90666666666667,468.09,0.0666666666666682,0.172666666666665,3.11850000000003,3.95850000000001,9.84,10.0793333333333,0.239333333333333,464.9715,472.0485,7.07700000000006
"Cluster5",8.88,418.74,0.0506666666666664,0.0399999999999991,5.50200000000002,3.10799999999998,8.82933333333333,8.92,0.0906666666666656,413.238,421.848,8.61000000000001
"Cluster315",13.8,934.815,0.0533333333333328,0.0533333333333328,3.72749999999998,4.50450000000001,13.7466666666667,13.8533333333333,0.106666666666666,931.0875,939.3195,8.23199999999997
"Cluster328",14.0933333333333,335.37,0.0800000000000001,0.0933333333333337,4.83,3.88499999999999,14.0133333333333,14.1866666666667,0.173333333333334,330.54,339.255,8.71499999999997
"Cluster163",10.56,459.795,0.0399999999999991,0.0526666666666662,4.99800000000002,1.01850000000001,10.52,10.6126666666667,0.0926666666666645,454.797,460.8135,6.01650000000006
"Cluster311",13.4533333333333,563.85,0.0533333333333346,0.0666666666666664,3.91650000000005,4.33650000000001,13.4,13.52,0.120000000000001,559.9335,568.1865,8.25300000000004
"Cluster161",10.5466666666667,494.13,0.0519999999999994,0.0533333333333346,4.59900000000001,4.78799999999997,10.4946666666667,10.6,0.105333333333334,489.531,498.918,9.38699999999994
"Cluster95",9.81333333333333,1008.735,0.0526666666666679,0.0399999999999991,1.83749999999998,1.2390000000001,9.76066666666667,9.85333333333333,0.0926666666666662,1006.8975,1009.974,3.07650000000012
"Cluster325",14.0533333333333,466.095,0.0659999999999997,0.0533333333333328,1.44899999999997,1.05000000000001,13.9873333333333,14.1066666666667,0.119333333333332,464.646,467.145,2.49899999999997
"Cluster321",13.9333333333333,735.525,0.0259999999999988,0.0793333333333335,1.24949999999999,1.87949999999999,13.9073333333333,14.0126666666667,0.105333333333332,734.2755,737.4045,3.12900000000002
"Cluster243",11.4666666666667,1730.61,0.0533333333333328,0.0533333333333346,2.1000000000001,1.22849999999999,11.4133333333333,11.52,0.106666666666667,1728.51,1731.8385,3.32850000000008
"Cluster10",8.98666666666667,282.135,0.0533333333333328,0.0533333333333346,3.28649999999998,2.289,8.93333333333333,9.04,0.106666666666667,278.8485,284.424,5.57549999999998
"Cluster322",13.9733333333333,425.67,0.0533333333333328,0.0666666666666664,2.289,3.71700000000003,13.92,14.04,0.119999999999999,423.381,429.387,6.00600000000003
"Cluster215",11.0533333333333,512.61,0.0526666666666679,0.0533333333333328,4.21049999999997,2.835,11.0006666666667,11.1066666666667,0.106,508.3995,515.445,7.0455
"Cluster336",14.3333333333333,553.77,0.0533333333333328,0.0533333333333328,2.10000000000002,2.29950000000005,14.28,14.3866666666667,0.106666666666666,551.67,556.0695,4.3995000000001
"Cluster361",15.5466666666667,1309.665,0.0666666666666664,0.0660000000000015,7.28699999999994,4.26299999999986,15.48,15.6126666666667,0.132666666666667,1302.378,1313.928,11.55
"Cluster341",14.5733333333333,626.22,0.0619999999999996,0.0666666666666664,3.48600000000007,3.70649999999996,14.5113333333333,14.64,0.128666666666666,622.734,629.9265,7.19250000000011
"Cluster348",14.9266666666667,434.28,0.0786666666666668,0.0533333333333345,0.409500000000017,1.23899999999999,14.848,14.98,0.132000000000001,433.8705,435.519,1.64850000000001
"Cluster360",15.5266666666667,971.775,0.0793333333333334,0.0666666666666664,5.87999999999992,3.03450000000009,15.4473333333333,15.5933333333333,0.145999999999999,965.895,974.8095,8.91449999999998
"Cluster289",12.6733333333333,548.205,0.0533333333333346,0.0533333333333328,0.398999999999961,1.23899999999999,12.62,12.7266666666667,0.106666666666667,547.806,549.444,1.63800000000003
"Cluster291",12.7066666666667,280.14,0.0666666666666664,0.0666666666666682,5.11350000000001,10.437,12.64,12.7733333333333,0.133333333333335,275.0265,290.577,15.5505
"Cluster170",10.6133333333333,265.65,0.0533333333333342,0.0400000000000009,6.34199999999999,1.21799999999999,10.56,10.6533333333333,0.0933333333333355,259.308,266.868,7.56
"Cluster192",10.9333333333333,207.48,0.0266666666666655,0.0533333333333346,7.413,4.305,10.9066666666667,10.9866666666667,0.0800000000000001,200.067,211.785,11.718
"Cluster228",11.1533333333333,644.07,0.146,0.0533333333333346,3.68550000000008,3.11849999999998,11.0073333333333,11.2066666666667,0.199333333333334,640.3845,647.1885,6.80399999999997
"Cluster313",13.68,499.59,0.0653333333333332,0.0533333333333328,2.10000000000002,3.44399999999999,13.6146666666667,13.7333333333333,0.118666666666666,497.49,503.034,5.54400000000004
"Cluster25",9,811.86,0.0533333333333328,0.0400000000000009,1.88999999999999,3.31800000000001,8.94666666666667,9.04,0.0933333333333337,809.97,815.178,5.20799999999997
"Cluster36",9.2,561.12,0.0533333333333346,0.0446666666666659,2.94000000000005,3.15000000000009,9.14666666666667,9.24466666666667,0.0980000000000008,558.18,564.27,6.09000000000015
"Cluster100",9.88,834.33,0.113333333333334,0.0533333333333328,5.77500000000003,6.19499999999994,9.76666666666667,9.93333333333333,0.166666666666668,828.555,840.525,11.97
"Cluster179",10.72,300.615,0.0399999999999991,0.0533333333333341,2.31000000000003,4.72500000000002,10.68,10.7733333333333,0.0933333333333337,298.305,305.34,7.03500000000008
"Cluster345",14.8133333333333,720.825,0.0666666666666664,0.0666666666666664,4.56749999999994,3.72749999999999,14.7466666666667,14.88,0.133333333333333,716.2575,724.5525,8.29499999999985
"Cluster72",9.7,264.6,0.0666666666666664,0.145333333333333,3.82200000000001,2.43600000000004,9.63333333333333,9.84533333333333,0.212,260.778,267.036,6.25800000000004
"Cluster3",8.73333333333333,444.15,0.0533333333333346,0.0533333333333328,5.922,3.57,8.68,8.78666666666667,0.106666666666667,438.228,447.72,9.49200000000002
"Cluster241",11.3866666666667,786.87,0.0533333333333328,0.0533333333333346,6.3,5.39699999999999,11.3333333333333,11.44,0.106666666666667,780.57,792.267,11.6969999999999
"Cluster49",9.36,684.915,0.0533333333333346,0.0399999999999991,4.011,3.57000000000005,9.30666666666667,9.4,0.0933333333333337,680.904,688.485,7.58100000000002
"Cluster80",9.78666666666667,131.565,0.0533333333333328,0.0606666666666671,7.2975,5.48100000000001,9.73333333333333,9.84733333333333,0.113999999999999,124.2675,137.046,12.7785
