"cluster","250519_150601.mea","250519_161058.mea","250519_171554.mea","250519_182051.mea","250519_192549.mea","250519_203045.mea","250519_224039.mea","250519_234535.mea","250520_005033.mea","250520_015530.mea","250520_030027.mea","250520_051343.mea","250520_141131.mea","250520_151627.mea","250520_162123.mea","250520_172618.mea","250520_183115.mea","250520_193613.mea","250520_214606.mea","250520_225105.mea","250520_235604.mea","250521_010101.mea","250521_020558.mea","250521_041917.mea","250521_144429.mea","250521_154926.mea","250521_165422.mea","250521_175919.mea","250522_102552.mea","250522_123546.mea","250522_134042.mea","250522_144540.mea","250522_155037.mea","250522_165536.mea","250522_190530.mea","250522_222342.mea","250522_232839.mea","250523_003336.mea","250523_013832.mea","250523_024330.mea","250523_045326.mea","250523_055821.mea","250523_070318.mea","250523_091312.mea"
"Cluster311",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cluster10",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1
"Cluster341",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cluster291",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster25",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"Cluster36",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster100",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster3",1,NA,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster241",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster21",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"Cluster9",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster30",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Cluster134",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Cluster302",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,1
"Cluster342",1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,1
"Cluster16",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster56",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,1,1
"Cluster15",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster166",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cluster175",1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
"Cluster18",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cluster151",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cluster274",1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,1,NA,1,NA
"Cluster8",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster31",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cluster67",1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1
"Cluster217",1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA
"Cluster290",1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cluster78",1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1
"Cluster133",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cluster4",1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
"Cluster26",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1
"Cluster239",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cluster132",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1
